packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
14841,17284247087,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14842,17284253756,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14843,17284260214,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14844,17284266724,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14845,17284301477,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14846,17284347559,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14847,17284380260,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14848,17284386772,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14849,17284393386,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14850,17284399795,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14851,17284413094,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14852,17284445863,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14853,17284511398,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14854,17284534389,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14855,17284539860,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14856,17284546526,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14857,17284552935,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14858,17284566691,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14859,17284609702,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14860,17284675237,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14861,17284729296,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14862,17284736066,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14863,17284742733,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14864,17284748152,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14865,17284773540,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14866,17284783016,S1G Beacon,129,34,-17,920,3,1,,,,,,,0,0
14867,17284839076,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14868,17284871844,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14869,17284876431,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14870,17284883099,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14871,17284888674,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14872,17284895394,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14873,17284937379,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14874,17284981410,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14875,17285004616,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14876,17285017222,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14877,17285023787,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14878,17285035683,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14879,17285100191,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14880,17285124849,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14881,17285131620,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14882,17285138599,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14883,17285145372,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14884,17285199521,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14885,17285254583,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14886,17285260957,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14887,17285265752,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14888,17285272263,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14889,17285279034,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14890,17285297825,Authentication,166,34,-60,920,0,11,0,0,0,0,0,0,0,0
14891,17285363361,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14892,17285389890,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14893,17285396347,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14894,17285403068,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14895,17285409685,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14896,17285416607,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14897,17285461664,Authentication,166,34,-58,920,0,11,0,0,0,0,0,0,0,0
14898,17285527200,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14899,17285544161,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14900,17285550620,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14901,17285557391,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14902,17285563800,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14903,17285572255,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14904,17285602217,S1G Beacon,61,34,-17,920,3,1,,,,,,,0,0
14905,17285625503,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14906,17285691039,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14907,17285704603,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14908,17285711272,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14909,17285717937,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14910,17285723806,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14911,17285728394,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14912,17285773026,Disassociation,64,34,-16,920,0,10,0,0,0,0,0,0,720,0
14913,17285777131,Disassociation,64,34,-16,920,0,10,0,0,1,0,0,0,720,0
14914,17285780920,Disassociation,64,34,-16,920,0,10,0,0,1,0,0,0,720,0
14915,17285784610,Disassociation,64,34,-16,920,0,10,0,0,1,0,0,0,720,0
14916,17285789342,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14917,17285812910,Data,287,34,-17,920,2,0,0,0,0,0,0,1,0,0
14918,17285843474,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14919,17285849984,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14920,17285856859,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14921,17285863317,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14922,17285887645,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14923,17285953181,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14924,17286002331,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14925,17286051485,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14926,17286056746,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14928,17286070468,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14929,17286076982,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14931,17286090650,QoS Data,131,34,-20,920,2,8,1,0,0,0,0,1,720,0
14932,17286092804,QoS Data,131,34,-22,920,2,8,0,0,0,0,0,1,720,0
14934,17286117020,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14935,17286157979,Authentication,166,34,-58,920,0,11,0,0,0,0,0,0,0,0
14936,17286201182,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14937,17286207745,Authentication,166,34,-15,920,0,11,0,0,1,0,0,0,720,0
14938,17286214152,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14939,17286219883,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14940,17286285429,QoS Data,128,34,-22,920,2,8,1,0,1,0,0,1,720,0
14943,17286313627,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14944,17286364530,Authentication,166,34,-16,920,0,11,0,0,0,0,0,0,720,0
14945,17286369638,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14946,17286375108,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14947,17286383635,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14948,17286421420,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
14949,17286429336,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
