attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,296,QoS Data,2026-06-22T16:46:48.369683000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,298,QoS Data,2026-06-22T16:46:48.371781000Z,-33,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,300,QoS Data,2026-06-22T16:46:48.377534000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,302,QoS Data,2026-06-22T16:46:48.380138000Z,-33,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,305,QoS Data,2026-06-22T16:46:48.402015000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,307,QoS Data,2026-06-22T16:46:48.404616000Z,-32,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,322,QoS Data,2026-06-22T16:46:53.393730000Z,-15,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,324,QoS Data,2026-06-22T16:46:53.395796000Z,-32,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,325,QoS Data,2026-06-22T16:46:53.399380000Z,-32,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,326,QoS Data,2026-06-22T16:46:53.405395000Z,-19,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,328,QoS Data,2026-06-22T16:46:53.652070000Z,-16,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,330,QoS Data,2026-06-22T16:46:53.654668000Z,-32,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
